Categoria: Todas as categorias

data,apartamento_sao_paulo
2004-01,100
2004-02,92
2004-03,33
2004-04,53
2004-05,43
2004-06,58
2004-07,88
2004-08,69
2004-09,78
2004-10,55
2004-11,49
2004-12,51
2005-01,61
2005-02,94
2005-03,32
2005-04,49
2005-05,35
2005-06,30
2005-07,58
2005-08,41
2005-09,81
2005-10,41
2005-11,48
2005-12,58
2006-01,74
2006-02,45
2006-03,52
2006-04,39
2006-05,40
2006-06,51
2006-07,47
2006-08,42
2006-09,35
2006-10,32
2006-11,60
2006-12,44
2007-01,68
2007-02,47
2007-03,63
2007-04,33
2007-05,40
2007-06,59
2007-07,51
2007-08,38
2007-09,36
2007-10,54
2007-11,40
2007-12,51
2008-01,91
2008-02,66
2008-03,35
2008-04,57
2008-05,54
2008-06,41
2008-07,37
2008-08,48
2008-09,54
2008-10,33
2008-11,39
2008-12,43
2009-01,61
2009-02,73
2009-03,50
2009-04,46
2009-05,43
2009-06,33
2009-07,58
2009-08,55
2009-09,42
2009-10,34
2009-11,31
2009-12,40
2010-01,46
2010-02,52
2010-03,46
2010-04,49
2010-05,56
2010-06,47
2010-07,50
2010-08,38
2010-09,44
2010-10,46
2010-11,41
2010-12,35
2011-01,62
2011-02,56
2011-03,49
2011-04,43
2011-05,38
2011-06,31
2011-07,39
2011-08,38
2011-09,38
2011-10,28
2011-11,35
2011-12,33
2012-01,49
2012-02,40
2012-03,40
2012-04,42
2012-05,42
2012-06,40
2012-07,36
2012-08,39
2012-09,42
2012-10,38
2012-11,40
2012-12,32
2013-01,55
2013-02,52
2013-03,45
2013-04,43
2013-05,43
2013-06,37
2013-07,39
2013-08,41
2013-09,36
2013-10,39
2013-11,36
2013-12,34
2014-01,50
2014-02,49
2014-03,39
2014-04,38
2014-05,38
2014-06,38
2014-07,44
2014-08,44
2014-09,41
2014-10,39
2014-11,41
2014-12,37
2015-01,58
2015-02,49
2015-03,43
2015-04,44
2015-05,36
2015-06,38
2015-07,40
2015-08,44
2015-09,40
2015-10,36
2015-11,40
2015-12,36
2016-01,47
2016-02,43
2016-03,39
2016-04,34
2016-05,32
2016-06,37
2016-07,39
2016-08,36
2016-09,35
2016-10,38
2016-11,31
2016-12,29
2017-01,51
