Categoria: Todas as categorias

Mês,financiamento caixa economica: (São Paulo)
2004-01,56
2004-02,58
2004-03,47
2004-04,49
2004-05,60
2004-06,27
2004-07,45
2004-08,37
2004-09,27
2004-10,19
2004-11,33
2004-12,48
2005-01,44
2005-02,47
2005-03,25
2005-04,17
2005-05,43
2005-06,28
2005-07,65
2005-08,50
2005-09,40
2005-10,55
2005-11,40
2005-12,37
2006-01,28
2006-02,56
2006-03,48
2006-04,44
2006-05,28
2006-06,38
2006-07,23
2006-08,42
2006-09,38
2006-10,30
2006-11,33
2006-12,28
2007-01,61
2007-02,44
2007-03,44
2007-04,40
2007-05,33
2007-06,40
2007-07,58
2007-08,60
2007-09,65
2007-10,39
2007-11,49
2007-12,39
2008-01,63
2008-02,57
2008-03,38
2008-04,51
2008-05,37
2008-06,46
2008-07,61
2008-08,28
2008-09,39
2008-10,42
2008-11,32
2008-12,45
2009-01,76
2009-02,41
2009-03,76
2009-04,100
2009-05,69
2009-06,53
2009-07,60
2009-08,52
2009-09,52
2009-10,58
2009-11,59
2009-12,68
2010-01,85
2010-02,79
2010-03,73
2010-04,73
2010-05,74
2010-06,65
2010-07,79
2010-08,63
2010-09,59
2010-10,55
2010-11,66
2010-12,45
2011-01,70
2011-02,53
2011-03,51
2011-04,49
2011-05,43
2011-06,41
2011-07,49
2011-08,52
2011-09,43
2011-10,36
2011-11,33
2011-12,30
2012-01,47
2012-02,40
2012-03,37
2012-04,55
2012-05,47
2012-06,42
2012-07,38
2012-08,39
2012-09,33
2012-10,38
2012-11,34
2012-12,25
2013-01,50
2013-02,39
2013-03,34
2013-04,35
2013-05,37
2013-06,34
2013-07,35
2013-08,38
2013-09,32
2013-10,34
2013-11,33
2013-12,29
2014-01,50
2014-02,42
2014-03,44
2014-04,49
2014-05,41
2014-06,32
2014-07,39
2014-08,37
2014-09,30
2014-10,33
2014-11,32
2014-12,27
2015-01,48
2015-02,43
2015-03,35
2015-04,41
2015-05,30
2015-06,26
2015-07,27
2015-08,25
2015-09,22
2015-10,24
2015-11,25
2015-12,20
2016-01,30
2016-02,30
2016-03,32
2016-04,28
2016-05,23
2016-06,23
2016-07,25
2016-08,20
2016-09,23
2016-10,23
2016-11,20
2016-12,17
2017-01,26
