Categoria: Todas as categorias

Mês,financiamento caixa: (São Paulo)
2004-01,48
2004-02,31
2004-03,35
2004-04,13
2004-05,19
2004-06,26
2004-07,22
2004-08,22
2004-09,19
2004-10,28
2004-11,35
2004-12,28
2005-01,36
2005-02,32
2005-03,31
2005-04,18
2005-05,27
2005-06,9
2005-07,31
2005-08,27
2005-09,24
2005-10,31
2005-11,29
2005-12,19
2006-01,39
2006-02,34
2006-03,33
2006-04,43
2006-05,21
2006-06,37
2006-07,20
2006-08,26
2006-09,26
2006-10,30
2006-11,22
2006-12,24
2007-01,45
2007-02,37
2007-03,36
2007-04,37
2007-05,40
2007-06,30
2007-07,52
2007-08,47
2007-09,54
2007-10,41
2007-11,41
2007-12,38
2008-01,66
2008-02,53
2008-03,36
2008-04,39
2008-05,37
2008-06,36
2008-07,36
2008-08,33
2008-09,42
2008-10,36
2008-11,33
2008-12,36
2009-01,71
2009-02,63
2009-03,70
2009-04,95
2009-05,78
2009-06,64
2009-07,66
2009-08,58
2009-09,62
2009-10,66
2009-11,70
2009-12,66
2010-01,100
2010-02,92
2010-03,72
2010-04,72
2010-05,73
2010-06,52
2010-07,77
2010-08,82
2010-09,74
2010-10,65
2010-11,74
2010-12,58
2011-01,85
2011-02,74
2011-03,67
2011-04,58
2011-05,64
2011-06,56
2011-07,66
2011-08,64
2011-09,60
2011-10,53
2011-11,59
2011-12,52
2012-01,84
2012-02,78
2012-03,68
2012-04,80
2012-05,83
2012-06,74
2012-07,73
2012-08,70
2012-09,68
2012-10,68
2012-11,62
2012-12,50
2013-01,81
2013-02,72
2013-03,66
2013-04,67
2013-05,68
2013-06,62
2013-07,71
2013-08,71
2013-09,61
2013-10,63
2013-11,64
2013-12,58
2014-01,89
2014-02,79
2014-03,74
2014-04,76
2014-05,75
2014-06,61
2014-07,77
2014-08,71
2014-09,74
2014-10,62
2014-11,69
2014-12,56
2015-01,92
2015-02,75
2015-03,74
2015-04,86
2015-05,71
2015-06,58
2015-07,58
2015-08,59
2015-09,54
2015-10,49
2015-11,51
2015-12,46
2016-01,68
2016-02,68
2016-03,74
2016-04,63
2016-05,53
2016-06,49
2016-07,61
2016-08,56
2016-09,53
2016-10,53
2016-11,53
2016-12,46
2017-01,68
