Categoria: Todas as categorias

Mês,negociar divida: (São Paulo)
2004-01,95
2004-02,68
2004-03,68
2004-04,68
2004-05,68
2004-06,68
2004-07,75
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,68
2005-03,100
2005-04,48
2005-05,48
2005-06,48
2005-07,44
2005-08,44
2005-09,44
2005-10,44
2005-11,44
2005-12,36
2006-01,36
2006-02,36
2006-03,36
2006-04,36
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,18
2007-04,15
2007-05,15
2007-06,15
2007-07,15
2007-08,13
2007-09,14
2007-10,19
2007-11,25
2007-12,14
2008-01,20
2008-02,26
2008-03,35
2008-04,17
2008-05,22
2008-06,16
2008-07,11
2008-08,21
2008-09,40
2008-10,26
2008-11,26
2008-12,11
2009-01,20
2009-02,27
2009-03,9
2009-04,9
2009-05,17
2009-06,30
2009-07,37
2009-08,24
2009-09,24
2009-10,16
2009-11,17
2009-12,27
2010-01,34
2010-02,14
2010-03,33
2010-04,32
2010-05,32
2010-06,13
2010-07,39
2010-08,11
2010-09,15
2010-10,18
2010-11,25
2010-12,15
2011-01,24
2011-02,23
2011-03,24
2011-04,28
2011-05,34
2011-06,27
2011-07,35
2011-08,28
2011-09,27
2011-10,22
2011-11,34
2011-12,27
2012-01,25
2012-02,21
2012-03,25
2012-04,30
2012-05,32
2012-06,21
2012-07,32
2012-08,35
2012-09,20
2012-10,39
2012-11,24
2012-12,35
2013-01,30
2013-02,31
2013-03,21
2013-04,33
2013-05,27
2013-06,29
2013-07,24
2013-08,28
2013-09,28
2013-10,46
2013-11,38
2013-12,36
2014-01,41
2014-02,36
2014-03,30
2014-04,38
2014-05,37
2014-06,33
2014-07,41
2014-08,35
2014-09,39
2014-10,44
2014-11,53
2014-12,47
2015-01,54
2015-02,36
2015-03,45
2015-04,36
2015-05,55
2015-06,38
2015-07,49
2015-08,37
2015-09,39
2015-10,43
2015-11,48
2015-12,42
2016-01,51
2016-02,40
2016-03,40
2016-04,33
2016-05,56
2016-06,48
2016-07,87
2016-08,73
2016-09,59
2016-10,58
2016-11,77
2016-12,67
2017-01,55
