Categoria: Todas as categorias

Mês,simulador financiamento: (São Paulo)
2004-01,0
2004-02,32
2004-03,27
2004-04,27
2004-05,10
2004-06,10
2004-07,10
2004-08,10
2004-09,21
2004-10,11
2004-11,11
2004-12,11
2005-01,11
2005-02,11
2005-03,8
2005-04,10
2005-05,12
2005-06,9
2005-07,9
2005-08,8
2005-09,7
2005-10,7
2005-11,19
2005-12,8
2006-01,15
2006-02,16
2006-03,14
2006-04,6
2006-05,8
2006-06,6
2006-07,20
2006-08,9
2006-09,11
2006-10,14
2006-11,10
2006-12,17
2007-01,20
2007-02,6
2007-03,22
2007-04,20
2007-05,24
2007-06,13
2007-07,32
2007-08,21
2007-09,17
2007-10,18
2007-11,23
2007-12,17
2008-01,31
2008-02,28
2008-03,25
2008-04,26
2008-05,27
2008-06,23
2008-07,33
2008-08,30
2008-09,29
2008-10,28
2008-11,30
2008-12,31
2009-01,45
2009-02,47
2009-03,44
2009-04,45
2009-05,46
2009-06,38
2009-07,43
2009-08,48
2009-09,47
2009-10,53
2009-11,54
2009-12,50
2010-01,80
2010-02,65
2010-03,55
2010-04,56
2010-05,66
2010-06,48
2010-07,54
2010-08,67
2010-09,54
2010-10,63
2010-11,75
2010-12,61
2011-01,83
2011-02,85
2011-03,75
2011-04,69
2011-05,70
2011-06,65
2011-07,76
2011-08,79
2011-09,86
2011-10,75
2011-11,73
2011-12,67
2012-01,100
2012-02,88
2012-03,80
2012-04,85
2012-05,99
2012-06,85
2012-07,67
2012-08,73
2012-09,71
2012-10,70
2012-11,71
2012-12,62
2013-01,81
2013-02,76
2013-03,67
2013-04,66
2013-05,78
2013-06,65
2013-07,73
2013-08,78
2013-09,69
2013-10,70
2013-11,74
2013-12,64
2014-01,92
2014-02,86
2014-03,75
2014-04,64
2014-05,74
2014-06,58
2014-07,74
2014-08,67
2014-09,70
2014-10,62
2014-11,72
2014-12,63
2015-01,86
2015-02,75
2015-03,68
2015-04,63
2015-05,52
2015-06,48
2015-07,56
2015-08,61
2015-09,51
2015-10,54
2015-11,55
2015-12,53
2016-01,69
2016-02,63
2016-03,57
2016-04,48
2016-05,52
2016-06,44
2016-07,50
2016-08,53
2016-09,52
2016-10,51
2016-11,47
2016-12,47
2017-01,59
