 202ª	19/10/2016		20/10/2016 - 30/11/2016	14,00		1,46	13,90
 201ª	31/08/2016		01/09/2016 - 19/10/2016	14,25		1,75	14,15
 200ª	20/07/2016		21/07/2016 - 31/08/2016	14,25		1,59	14,15
 199ª	08/06/2016		09/06/2016 - 20/07/2016	14,25		1,59	14,15
 198ª	27/04/2016		28/04/2016 - 08/06/2016	14,25		1,53	14,15
 197ª	02/03/2016		03/03/2016 - 27/04/2016	14,25		2,02	14,15
 196ª	20/01/2016		21/01/2016 - 02/03/2016	14,25		1,48	14,15
 195ª	25/11/2015		26/11/2015 - 20/01/2016	14,25		2,02	14,15
 194ª	21/10/2015		22/10/2015 - 25/11/2015	14,25		1,27	14,15
 193ª	02/09/2015		03/09/2015 - 21/10/2015	14,25		1,75	14,15
 192ª	29/07/2015		30/07/2015 - 02/09/2015	14,25		1,32	14,15
 191ª	03/06/2015		04/06/2015 - 29/07/2015	13,75		2,00	13,65
 190ª	29/04/2015		30/04/2015 - 03/06/2015	13,25		1,18	13,15
 189ª	04/03/2015		05/03/2015 - 29/04/2015	12,75		1,81	12,65
 188ª	21/01/2015		22/01/2015 - 04/03/2015	12,25		1,28	12,15
 187ª	03/12/2014		04/12/2014 - 21/01/2015	11,75		1,45	11,65
 186ª	29/10/2014		30/10/2014 - 03/12/2014	11,25		1,05	11,15
 185ª	03/09/2014		04/09/2014 - 29/10/2014	11,00		1,66	10,90
 184ª	16/07/2014		17/07/2014 - 03/09/2014	11,00		1,45	10,90
 183ª	28/05/2014		29/05/2014 - 16/07/2014	11,00		1,41	10,90
 182ª	02/04/2014		03/04/2014 - 28/05/2014	11,00		1,53	10,90
 181ª	26/02/2014		27/02/2014 - 02/04/2014	10,75		0,93	10,65
 180ª	15/01/2014		16/01/2014 - 26/02/2014	10,50		1,18	10,40
 179ª	27/11/2013		28/11/2013 - 15/01/2014	10,00		1,24	9,90
 178ª	09/10/2013		10/10/2013 - 27/11/2013	9,50		1,22	9,40
 177ª	28/08/2013		29/08/2013 - 09/10/2013	9,00		1,02	8,90
 176ª	10/07/2013		11/07/2013 - 28/08/2013	8,50		1,13	8,40
 175ª	29/05/2013		30/05/2013 - 10/07/2013	8,00		0,88	7,90
 174ª	17/04/2013		18/04/2013 - 29/05/2013	7,50		0,82	7,40
 173ª	06/03/2013		07/03/2013 - 17/04/2013	7,25		0,80	7,16
 172ª	16/01/2013		17/01/2013 - 06/03/2013	7,25		0,90	7,12
 171ª	28/11/2012		29/11/2012 - 16/01/2013	7,25		0,91	7,14
 170ª	10/10/2012		11/10/2012 - 28/11/2012	7,25		0,88	7,14
 169ª	29/08/2012		30/08/2012 - 10/10/2012	7,50		0,82	7,39
 168ª	11/07/2012		12/07/2012 - 29/08/2012	8,00		1,06	7,89
 167ª	30/05/2012		31/05/2012 - 11/07/2012	8,50		0,93	8,39
 166ª	18/04/2012		19/04/2012 - 30/05/2012	9,00		0,99	8,90
 165ª	07/03/2012		08/03/2012 - 18/04/2012	9,75		1,07	9,65
 164ª	18/01/2012		19/01/2012 - 07/03/2012	10,50		1,30	10,40
 163ª	30/11/2011		01/12/2011 - 18/01/2012	11,00		1,45	10,90
 162ª	19/10/2011		20/10/2011 - 30/11/2011	11,50		1,21	11,40
 161ª	31/08/2011		01/09/2011 - 19/10/2011	12,00		1,48	11,90
 160ª	20/07/2011		21/07/2011 - 31/08/2011	12,50		1,40	12,42
 159ª	08/06/2011		09/06/2011 - 20/07/2011	12,25		1,33	12,17
 158ª	20/04/2011		21/04/2011 - 08/06/2011	12,00		1,49	11,92
 157ª	02/03/2011		03/03/2011 - 20/04/2011	11,75		1,46	11,67
 156ª	19/01/2011		20/01/2011 - 02/03/2011	11,25		1,27	11,17
 155ª	08/12/2010		09/12/2010 - 19/01/2011	10,75		1,21	10,66
 154ª	20/10/2010		21/10/2010 - 08/12/2010	10,75		1,34	10,66
 153ª	01/09/2010		02/09/2010 - 20/10/2010	10,75		1,34	10,66
 152ª	21/07/2010		22/07/2010 - 01/09/2010	10,75		1,21	10,66
 151ª	09/06/2010		10/06/2010 - 21/07/2010	10,25		1,16	10,16
 150ª	28/04/2010		29/04/2010 - 09/06/2010	9,50		1,04	9,40
 149ª	17/03/2010		18/03/2010 - 28/04/2010	8,75		0,93	8,65
 148ª	27/01/2010		28/01/2010 - 17/03/2010	8,75		1,09	8,65
 147ª	09/12/2009		10/12/2009 - 27/01/2010	8,75		1,09	8,65
 146ª	21/10/2009		22/10/2009 - 09/12/2009	8,75		1,09	8,65
 145ª	02/09/2009		03/09/2009 - 21/10/2009	8,75		1,09	8,65
 144ª	22/07/2009		23/07/2009 - 02/09/2009	8,75		0,99	8,65
 143ª	10/06/2009		11/06/2009 - 22/07/2009	9,25		1,01	9,16
 142ª	29/04/2009		30/04/2009 - 10/06/2009	10,25		1,12	10,16
 141ª	11/03/2009		12/03/2009 - 29/04/2009	11,25		1,40	11,16
 140ª	21/01/2009		22/01/2009 - 11/03/2009	12,75		1,57	12,66
 139ª	10/12/2008		11/12/2008 - 21/01/2009	13,75		1,43	13,66
 138ª	29/10/2008		30/10/2008 - 10/12/2008	13,75		1,53	13,65
 137ª	10/09/2008		11/09/2008 - 29/10/2008	13,75		1,79	13,66
 136ª	23/07/2008		24/07/2008 - 10/09/2008	13,00		1,70	12,92
 135ª	04/06/2008		05/06/2008 - 23/07/2008	12,25		1,61	12,17
 134ª	16/04/2008		17/04/2008 - 04/06/2008	11,75		1,41	11,63
 133ª	05/03/2008		06/03/2008 - 16/04/2008	11,25		1,23	11,18
