a,m,vso,pop,pib,fam_endividadas,porc_divida_financ_casa,selic
2004,jan,0.073,10679760,2.2,NA,NA,16.3
2004,fev,0.056,10679760,2.2,0.65,NA,16.28
2004,mar,0.094,10679760,2.2,0.69,NA,16.09
2004,abr,0.087,10679760,2.2,0.68,NA,15.8
2004,mai,0.06,10679760,2.2,0.67,NA,15.79
2004,jun,0.062,10679760,2.2,0.72,NA,15.79
2004,jul,0.049,10679760,2.2,0.63,NA,15.83
2004,ago,0.073,10679760,2.2,0.67,NA,15.9
2004,set,0.091,10679760,2.2,0.66,NA,16.23
2004,out,0.093,10679760,2.2,0.68,NA,16.71
2004,nov,0.075,10679760,2.2,0.65,NA,17.23
2004,dez,0.093,10679760,2.2,0.7,NA,17.74
2005,jan,0.06,10775383,2.55,0.68,NA,18.25
2005,fev,0.05,10775383,2.55,0.63,NA,18.75
2005,mar,0.103,10775383,2.55,0.61,NA,19.24
2005,abr,0.086,10775383,2.55,0.63,NA,19.51
2005,mai,0.075,10775383,2.55,0.53,NA,19.75
2005,jun,0.115,10775383,2.55,0.56,NA,19.73
2005,jul,0.082,10775383,2.55,0.6,NA,19.75
2005,ago,0.084,10775383,2.55,0.67,NA,19.74
2005,set,0.085,10775383,2.55,0.66,NA,19.48
2005,out,0.113,10775383,2.55,0.59,NA,18.98
2005,nov,0.09,10775383,2.55,0.63,NA,18.49
2005,dez,0.113,10775383,2.55,0.61,NA,18
2006,jan,0.061,10871007,2.84,0.63,NA,17.26
2006,fev,0.083,10871007,2.84,0.67,NA,17.26
2006,mar,0.099,10871007,2.84,0.64,NA,16.5
2006,abr,0.109,10871007,2.84,0.61,NA,15.72
2006,mai,0.126,10871007,2.84,0.6,NA,15.18
2006,jun,0.152,10871007,2.84,0.57,NA,15.18
2006,jul,0.114,10871007,2.84,0.52,NA,14.67
2006,ago,0.127,10871007,2.84,0.55,NA,14.17
2006,set,0.138,10871007,2.84,0.55,NA,14.17
2006,out,0.127,10871007,2.84,0.62,NA,13.67
2006,nov,0.16,10871007,2.84,0.7,NA,13.19
2006,dez,0.151,10871007,2.84,0.61,NA,13.19
2007,jan,0.074,10966631,3.22,0.58,NA,12.93
2007,fev,0.091,10966631,3.22,0.61,NA,12.93
2007,mar,0.152,10966631,3.22,0.62,NA,12.68
2007,abr,0.128,10966631,3.22,0.62,NA,12.43
2007,mai,0.175,10966631,3.22,0.6,NA,12.43
2007,jun,0.174,10966631,3.22,0.62,NA,11.93
2007,jul,0.141,10966631,3.22,0.57,NA,11.43
2007,ago,0.165,10966631,3.22,0.59,NA,11.43
2007,set,0.261,10966631,3.22,0.59,NA,11.18
2007,out,0.198,10966631,3.22,0.56,NA,11.18
2007,nov,0.159,10966631,3.22,0.54,NA,11.18
2007,dez,0.231,10966631,3.22,0.48,NA,11.18
2008,jan,0.074,11062255,3.54,0.53,NA,11.18
2008,fev,0.134,11062255,3.54,0.48,NA,11.18
2008,mar,0.209,11062255,3.54,0.48,NA,11.18
2008,abr,0.148,11062255,3.54,0.49,NA,11.63
2008,mai,0.218,11062255,3.54,0.5,NA,11.63
2008,jun,0.183,11062255,3.54,0.49,NA,12.17
2008,jul,0.134,11062255,3.54,0.53,NA,12.92
2008,ago,0.207,11062255,3.54,0.45,NA,12.92
2008,set,0.138,11062255,3.54,0.53,NA,13.66
2008,out,0.049,11062255,3.54,0.53,NA,13.65
2008,nov,0.084,11062255,3.54,0.49,NA,13.65
2008,dez,0.077,11062255,3.54,0.5,NA,13.66
2009,jan,0.055,11157879,3.9,0.45,NA,12.66
2009,fev,0.077,11157879,3.9,0.38,NA,12.66
2009,mar,0.107,11157879,3.9,0.5,NA,11.16
2009,abr,0.103,11157879,3.9,0.55,NA,10.16
2009,mai,0.213,11157879,3.9,0.52,NA,10.16
2009,jun,0.215,11157879,3.9,0.49,NA,9.16
2009,jul,0.144,11157879,3.9,0.46,NA,8.65
2009,ago,0.227,11157879,3.9,0.49,NA,8.65
2009,set,0.308,11157879,3.9,0.45,NA,8.65
2009,out,0.181,11157879,3.9,0.41,NA,8.65
2009,nov,0.175,11157879,3.9,0.46,NA,8.65
2009,dez,0.308,11157879,3.9,0.48,NA,8.65
2010,jan,0.113,11253503,4.5,0.44,0.02,8.65
2010,fev,0.211,11253503,4.5,0.43,0.02,8.65
2010,mar,0.282,11253503,4.5,0.49,0.02,8.65
2010,abr,0.253,11253503,4.5,0.46,0.02,9.4
2010,mai,0.167,11253503,4.5,0.44,0.03,9.4
2010,jun,0.268,11253503,4.5,0.42,0.01,10.16
2010,jul,0.286,11253503,4.5,0.52,0.03,10.66
2010,ago,0.174,11253503,4.5,0.5,0.02,10.66
2010,set,0.264,11253503,4.5,0.51,0.02,10.66
2010,out,0.235,11253503,4.5,0.5,0.01,10.66
2010,nov,0.241,11253503,4.5,0.5,0.02,10.66
2010,dez,0.292,11253503,4.5,0.46,0.03,10.66
2011,jan,0.067,11349126,5.02,0.51,0.02,11.17
2011,fev,0.132,11349126,5.02,0.54,0.02,11.17
2011,mar,0.115,11349126,5.02,0.53,0.03,11.67
2011,abr,0.16,11349126,5.02,0.48,0.03,11.92
2011,mai,0.151,11349126,5.02,0.46,0.02,11.92
2011,jun,0.165,11349126,5.02,0.47,0.03,12.17
2011,jul,0.169,11349126,5.02,0.47,0.02,12.42
2011,ago,0.133,11349126,5.02,0.45,0.03,11.9
2011,set,0.187,11349126,5.02,0.42,0.03,11.9
2011,out,0.119,11349126,5.02,0.43,0.02,11.4
2011,nov,0.136,11349126,5.02,0.41,0.01,10.9
2011,dez,0.162,11349126,5.02,0.41,0.02,10.9
2012,jan,0.052,11444750,5.39,0.42,0.01,10.4
2012,fev,0.103,11444750,5.39,0.42,0.05,10.4
2012,mar,0.11,11444750,5.39,0.52,0.03,9.65
2012,abr,0.102,11444750,5.39,0.51,0.02,8.9
2012,mai,0.137,11444750,5.39,0.53,0.03,8.39
2012,jun,0.099,11444750,5.39,0.48,0.02,8.39
2012,jul,0.091,11444750,5.39,0.51,0.03,7.89
2012,ago,0.099,11444750,5.39,0.54,0.08,7.39
2012,set,0.177,11444750,5.39,0.51,0.11,7.39
2012,out,0.102,11444750,5.39,0.49,0.07,7.14
2012,nov,0.128,11444750,5.39,0.47,0.09,7.14
2012,dez,0.125,11444750,5.39,0.46,0.05,7.14
2013,jan,0.04,11540374,5.82,0.49,0.06,7.12
2013,fev,0.087,11540374,5.82,0.51,0.05,7.12
2013,mar,0.178,11540374,5.82,0.52,0.09,7.16
2013,abr,0.16,11540374,5.82,0.57,0.09,7.4
2013,mai,0.16,11540374,5.82,0.57,0.08,7.9
2013,jun,0.183,11540374,5.82,0.54,0.08,7.9
2013,jul,0.09,11540374,5.82,0.57,0.07,8.4
2013,ago,0.177,11540374,5.82,0.53,0.09,8.9
2013,set,0.156,11540374,5.82,0.53,0.1,8.9
2013,out,0.114,11540374,5.82,0.54,0.09,9.4
2013,nov,0.129,11540374,5.82,0.52,0.11,9.9
2013,dez,0.124,11540374,5.82,0.54,0.09,9.9
2014,jan,0.052,11635998,6.28,0.55,0.1,10.4
2014,fev,0.05,11635998,6.28,0.51,0.13,10.65
2014,mar,0.082,11635998,6.28,0.48,0.11,10.65
2014,abr,0.098,11635998,6.28,0.51,0.13,10.9
2014,mai,0.094,11635998,6.28,0.51,0.13,10.9
2014,jun,0.048,11635998,6.28,0.5,0.13,10.9
2014,jul,0.034,11635998,6.28,0.5,0.12,10.9
2014,ago,0.077,11635998,6.28,0.49,0.13,10.9
2014,set,0.111,11635998,6.28,0.48,0.15,10.9
2014,out,0.039,11635998,6.28,0.45,0.15,11.15
2014,nov,0.101,11635998,6.28,0.44,0.14,11.15
2014,dez,0.107,11635998,6.28,0.43,0.14,11.65
2015,jan,0.027,11731622,NA,0.39,0.16,12.15
2015,fev,0.027,11731622,NA,0.39,0.13,12.15
2015,mar,0.044,11731622,NA,0.42,0.12,12.65
2015,abr,0.072,11731622,NA,0.49,0.14,13.15
2015,mai,0.071,11731622,NA,0.55,0.13,13.15
2015,jun,0.086,11731622,NA,0.54,0.12,13.65
2015,jul,0.037,11731622,NA,0.53,0.13,14.15
2015,ago,0.056,11731622,NA,0.55,0.13,14.15
2015,set,0.05,11731622,NA,0.55,0.13,14.15
2015,out,0.04,11731622,NA,0.52,0.13,14.15
2015,nov,0.083,11731622,NA,0.49,0.13,14.15
2015,dez,0.096,11731622,NA,0.5,0.13,14.15
2016,jan,0.034,11827246,NA,0.52,0.12,14.15
2016,fev,0.031,11827246,NA,0.51,0.11,14.15
2016,mar,0.04,11827246,NA,0.52,0.12,14.15
2016,abr,0.045,11827246,NA,0.51,0.12,14.15
2016,mai,0.041,11827246,NA,0.5,0.13,14.15
2016,jun,0.079,11827246,NA,0.49,0.14,14.15
2016,jul,0.033,11827246,NA,0.49,0.12,14.15
2016,ago,0.042,11827246,NA,0.51,0.11,14.15
2016,set,0.066,11827246,NA,0.52,0.11,14.15
2016,out,0.058,11827246,NA,0.52,0.11,13.9
